symptoms,disease,home_medication,doctor_prescription
cold,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
nausea headache runny nose,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
nausea cough,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
fever,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
vomiting,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
headache,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
cough body pain nausea,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
nausea cold headache,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
sore throat nausea,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
diarrhea,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
sore throat headache,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
chest pain fatigue nausea,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
diarrhea,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
nausea chest pain,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
diarrhea runny nose vomiting,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
runny nose nausea cold,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
chest pain,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
sore throat,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
headache cold cough,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
nausea body pain runny nose,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
nausea runny nose,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
fatigue nausea chest pain,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
body pain fever chest pain,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
sore throat,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
fever body pain,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
nausea diarrhea,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
runny nose chest pain nausea,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
sore throat,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
fever fatigue diarrhea,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
headache,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
sore throat,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
cough chest pain fatigue,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
body pain chest pain,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
diarrhea runny nose,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
runny nose diarrhea,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
diarrhea nausea,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
body pain runny nose fever,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
vomiting cold cough,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
diarrhea headache,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
fatigue cough,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
nausea chest pain runny nose,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
diarrhea,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
chest pain sore throat,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
fever headache vomiting,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
cold,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
body pain,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
chest pain sore throat,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
chest pain headache,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
body pain,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
headache chest pain,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
fever sore throat,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
fever diarrhea chest pain,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
fatigue,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
vomiting,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
headache runny nose,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
body pain runny nose,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
cough body pain,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
body pain cough vomiting,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
headache,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
headache,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
diarrhea body pain runny nose,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
cold cough fatigue,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
nausea fatigue diarrhea,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
cough,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
fever chest pain headache,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
nausea,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
cough runny nose,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
body pain,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
runny nose,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
body pain diarrhea,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
body pain nausea sore throat,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
fatigue,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
nausea chest pain,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
fatigue sore throat nausea,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
fever,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
diarrhea fatigue body pain,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
body pain fever,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
headache,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
vomiting,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
diarrhea chest pain nausea,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
body pain,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
runny nose,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
fatigue,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
cough cold,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
fever sore throat,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
chest pain,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
body pain sore throat,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
cough vomiting diarrhea,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
fatigue headache,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
diarrhea vomiting,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
chest pain nausea vomiting,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
fatigue cough headache,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
sore throat chest pain,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
vomiting diarrhea,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
headache,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
headache,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
nausea body pain,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
fever nausea,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
body pain,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
fever runny nose,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
fever nausea,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
headache cold body pain,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
chest pain cough fatigue,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
fever,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
vomiting cough,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
cough,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
headache fever,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
chest pain nausea fever,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
diarrhea cough fatigue,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
cough fever runny nose,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
cough fatigue,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
diarrhea,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
fever,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
body pain headache nausea,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
cough headache,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
fever nausea cold,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
sore throat cough diarrhea,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
fever,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
fever vomiting nausea,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
cold fatigue vomiting,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
sore throat cold,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
chest pain sore throat,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
body pain cold,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
nausea diarrhea,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
cough body pain fever,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
body pain fatigue,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
cold nausea,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
diarrhea,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
diarrhea sore throat fatigue,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
fatigue sore throat cough,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
cough nausea,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
sore throat,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
runny nose diarrhea body pain,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
fatigue chest pain,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
fatigue,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
cold,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
vomiting,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
vomiting diarrhea body pain,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
fatigue cold,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
cold fever runny nose,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
body pain,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
chest pain cough diarrhea,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
fatigue,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
body pain cold vomiting,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
sore throat,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
fever diarrhea body pain,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
fever body pain nausea,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
fever fatigue diarrhea,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
diarrhea sore throat headache,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
chest pain diarrhea cold,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
cough,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
headache,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
cold body pain,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
nausea body pain headache,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
runny nose chest pain nausea,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
sore throat,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
runny nose body pain cold,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
cough headache,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
headache runny nose nausea,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
fever,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
nausea fatigue,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
sore throat chest pain,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
diarrhea nausea chest pain,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
sore throat fatigue,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
cough sore throat diarrhea,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
fever nausea diarrhea,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
diarrhea nausea runny nose,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
runny nose cough,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
body pain,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
sore throat fatigue headache,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
cold,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
cold nausea,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
cold nausea diarrhea,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
diarrhea fatigue chest pain,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
sore throat diarrhea,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
vomiting body pain cold,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
cough body pain vomiting,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
fatigue,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
cold fatigue,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
vomiting,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
cough nausea,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
cold,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
diarrhea cold,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
fever headache,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
cough cold nausea,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
runny nose chest pain cold,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
fatigue nausea,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
chest pain body pain cold,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
cold fever,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
fatigue headache chest pain,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
nausea vomiting,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
nausea cold headache,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
fatigue vomiting,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
runny nose,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
chest pain sore throat diarrhea,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
runny nose cold,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
headache runny nose,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
runny nose,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
cough headache,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
cough chest pain cold,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
diarrhea runny nose nausea,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
cold,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
headache sore throat,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
vomiting diarrhea sore throat,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
fever chest pain vomiting,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
sore throat cough,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
fever runny nose vomiting,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
body pain,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
sore throat,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
fatigue,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
cold vomiting,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
diarrhea vomiting,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
fever,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
fatigue chest pain,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
headache diarrhea fever,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
headache vomiting,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
chest pain,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
diarrhea,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
body pain cold fever,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
headache sore throat,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
cough cold chest pain,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
sore throat chest pain body pain,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
body pain diarrhea fever,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
fatigue,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
runny nose,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
fever,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
fatigue cold chest pain,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
cough fever,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
chest pain sore throat vomiting,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
fever cold vomiting,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
sore throat,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
body pain,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
cold headache,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
nausea sore throat diarrhea,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
fatigue nausea,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
fever,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
cough diarrhea,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
nausea runny nose,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
chest pain,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
cough cold,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
runny nose fatigue diarrhea,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
chest pain fatigue,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
chest pain fatigue cold,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
vomiting,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
fatigue chest pain,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
vomiting,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
cough fatigue runny nose,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
headache body pain cough,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
vomiting,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
sore throat headache,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
fever,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
runny nose chest pain,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
diarrhea fever,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
cold,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
sore throat cough,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
fatigue,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
sore throat vomiting fatigue,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
chest pain,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
cough headache diarrhea,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
cold,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
chest pain fever body pain,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
body pain chest pain,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
body pain fever,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
runny nose chest pain fatigue,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
runny nose,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
chest pain sore throat vomiting,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
diarrhea sore throat,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
sore throat runny nose,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
cough diarrhea runny nose,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
fatigue,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
cold vomiting body pain,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
fever vomiting,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
chest pain,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
diarrhea runny nose,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
chest pain cold fever,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
